address,type,error_name
M101,Bool,Robot sau组装真空_đang chạy thủ công (Rear robot组装真空_manual running) - 后机器人组装真空_手动中
M102,Bool,Chân không lắp ráp cổng trục_đang chạy thủ công (Gantry assembly vacuum_manual running) - 龙门组装真空_手动中
M103,Bool,Xi lanh chặn vào liệu tầng trên_đang chạy thủ công (Upper inlet stopper cylinder_manual running) - 上层入料阻挡气缸_手动中
M104,Bool,上层入料xi lanh đẩy bên_đang chạy thủ công (上层入料side pusher cylinder_manual running) - 上层入料侧推气缸_手动中
M105,Bool,上层出料xi lanh chặn_đang chạy thủ công (上层出料stopper cylinder_manual running) - 上层出料阻挡气缸_手动中
M106,Bool,Xi lanh đẩy bên ra liệu tầng trên_đang chạy thủ công (Upper outlet side pusher cylinder_manual running) - 上层出料侧推气缸_手动中
M107,Bool,Xi lanh chặn ra liệu tầng dưới_đang chạy thủ công (Lower outlet stopper cylinder_manual running) - 下层出料阻挡气缸_手动中
M108,Bool,Xi lanh lắp ráp Robot trước_đang chạy thủ công (Front robot assembly cylinder_manual running) - 前机器人组装气缸_手动中
M109,Bool,Xi lanh lắp ráp Robot sau_đang chạy thủ công (Rear robot assembly cylinder_manual running) - 后机器人组装气缸_手动中
M110,Bool,Xi lanh lắp ráp cổng trục_đang chạy thủ công (Gantry assembly cylinder_manual running) - 龙门组装气缸_手动中
M111,Bool,Băng tải vào tầng trên_đang chạy thủ công (Upper inlet conveyor_manual running) - 上层入料流水线_手动中
M112,Bool,Băng tải ra tầng trên_đang chạy thủ công (Upper outlet conveyor_manual running) - 上层出料流水线_手动中
M113,Bool,Băng tải vào tầng dưới_đang chạy thủ công (Lower inlet conveyor_manual running) - 下层入料流水线_手动中
M114,Bool,Băng tải ra tầng dưới_đang chạy thủ công (Lower outlet conveyor_manual running) - 下层出料流水线_手动中
M117,Bool,Robot trước组装真空báo động (Front robot组装真空alarm) - 前机器人组装真空报警
M118,Bool,Robot sau组装真空báo động (Rear robot组装真空alarm) - 后机器人组装真空报警
M119,Bool,Chân không lắp ráp cổng trụcbáo động (Gantry assembly vacuumalarm) - 龙门组装真空报警
M120,Bool,Xi lanh chặn vào liệu tầng trênvị trí gốc_báo động (Upper inlet stopper cylinderhome_alarm) - 上层入料阻挡气缸原位_报警
M121,Bool,Xi lanh chặn vào liệu tầng trênvị trí làm việc_báo động (Upper inlet stopper cylinderwork_alarm) - 上层入料阻挡气缸出位_报警
M122,Bool,上层入料xi lanh đẩy bênvị trí gốc_báo động (上层入料side pusher cylinderhome_alarm) - 上层入料侧推气缸原位_报警
M123,Bool,上层入料xi lanh đẩy bênvị trí làm việc_báo động (上层入料side pusher cylinderwork_alarm) - 上层入料侧推气缸出位_报警
M124,Bool,上层出料xi lanh chặnvị trí gốc_báo động (上层出料stopper cylinderhome_alarm) - 上层出料阻挡气缸原位_报警
M125,Bool,上层出料xi lanh chặnvị trí làm việc_báo động (上层出料stopper cylinderwork_alarm) - 上层出料阻挡气缸出位_报警
M126,Bool,Xi lanh đẩy bên ra liệu tầng trênvị trí gốc_báo động (Upper outlet side pusher cylinderhome_alarm) - 上层出料侧推气缸原位_报警
M127,Bool,Xi lanh đẩy bên ra liệu tầng trênvị trí làm việc_báo động (Upper outlet side pusher cylinderwork_alarm) - 上层出料侧推气缸出位_报警
M128,Bool,Xi lanh chặn ra liệu tầng dướivị trí gốc_báo động (Lower outlet stopper cylinderhome_alarm) - 下层出料阻挡气缸原位_报警
M129,Bool,Xi lanh chặn ra liệu tầng dướivị trí làm việc_báo động (Lower outlet stopper cylinderwork_alarm) - 下层出料阻挡气缸出位_报警
M130,Bool,Xi lanh lắp ráp Robot trướcvị trí gốc_báo động（靠屏） (Front robot assembly cylinderhome_alarm（靠屏）) - 前机器人组装气缸原位_报警（靠屏）
M131,Bool,Xi lanh lắp ráp Robot trướcvị trí làm việc_báo động（靠屏） (Front robot assembly cylinderwork_alarm（靠屏）) - 前机器人组装气缸出位_报警（靠屏）
M132,Bool,Xi lanh lắp ráp Robot sauvị trí gốc_báo động (Rear robot assembly cylinderhome_alarm) - 后机器人组装气缸原位_报警
M133,Bool,Xi lanh lắp ráp Robot sauvị trí làm việc_báo động (Rear robot assembly cylinderwork_alarm) - 后机器人组装气缸出位_报警
M134,Bool,Xi lanh lắp ráp cổng trụcvị trí gốc_báo động (Gantry assembly cylinderhome_alarm) - 龙门组装气缸原位_报警
M135,Bool,Xi lanh lắp ráp cổng trụcvị trí làm việc_báo động (Gantry assembly cylinderwork_alarm) - 龙门组装气缸出位_报警
M136,Bool,Tay kẹp gắp vít cổng trụcvị trí gốc_báo động (Gantry screw picking gripperhome_alarm) - 龙门取螺丝夹爪原位_报警
M137,Bool,Tay kẹp gắp vít cổng trụcvị trí làm việc_báo động (Gantry screw picking gripperwork_alarm) - 龙门取螺丝夹爪出位_报警
M138,Bool,Cửa an toànbáo động (Safety gatealarm) - 门禁报警
M139,Bool,Dừng khẩn cấpbáo động (E-stopalarm) - 急停报警
M140,Bool,Trục X cổng trục (Gantry)báo động bộ điều khiển (driver) (Gantry X-axisdriver alarm) - 龙门X轴驱动器报警
M141,Bool,Trục X cổng trục (Gantry)báo động nới lỏng (thả lỏng) (Gantry X-axisrelease alarm) - 龙门X轴放松报警
M142,Bool,Trục X cổng trục (Gantry)lỗi servo (Gantry X-axisservo error) - 龙门X轴伺服报错
M143,Bool,Trục X cổng trục (Gantry)chưa về vị trí gốcbáo động (Gantry X-axisnot homedalarm) - 龙门X轴未归零报警
M145,Bool,Trục Y cổng trục (Gantry)báo động bộ điều khiển (driver) (Gantry Y-axisdriver alarm) - 龙门Y轴驱动器报警
M146,Bool,Trục Y cổng trục (Gantry)báo động nới lỏng (thả lỏng) (Gantry Y-axisrelease alarm) - 龙门Y轴放松报警
M147,Bool,Trục Y cổng trục (Gantry)lỗi servo (Gantry Y-axisservo error) - 龙门Y轴伺服报错
M148,Bool,Trục Y cổng trục (Gantry)chưa về vị trí gốcbáo động (Gantry Y-axisnot homedalarm) - 龙门Y轴未归零报警
M150,Bool,Trục Z cổng trục (Gantry)báo động bộ điều khiển (driver) (Gantry Z-axisdriver alarm) - 龙门Z轴驱动器报警
M151,Bool,Trục Z cổng trục (Gantry)báo động nới lỏng (thả lỏng) (Gantry Z-axisrelease alarm) - 龙门Z轴放松报警
M152,Bool,Trục Z cổng trục (Gantry)lỗi servo (Gantry Z-axisservo error) - 龙门Z轴伺服报错
M153,Bool,Trục Z cổng trục (Gantry)chưa về vị trí gốcbáo động (Gantry Z-axisnot homedalarm) - 龙门Z轴未归零报警
M160,Bool,Robot trướcdừng khẩn cấp (Front robotE-stop) - 前机器人急停
M161,Bool,Robot trước系统sự cố (Front robot系统fault) - 前机器人系统故障
M162,Bool,Robot trướckhi đang chạychuyển tay gạt sang thủ công (Front robotduring runninghandle switch to manual) - 前机器人运行时手柄切手动
M165,Bool,Robot saudừng khẩn cấp (Rear robotE-stop) - 后机器人急停
M166,Bool,Robot sau系统sự cố (Rear robot系统fault) - 后机器人系统故障
M167,Bool,Robot saukhi đang chạychuyển tay gạt sang thủ công (Rear robotduring runninghandle switch to manual) - 后机器人运行时手柄切手动
M179,Bool,Băng tải tầng dướibáo động chống lỗi (phòng sai) (Lower conveyorerror-proofing alarm) - 下层流水线防呆报警
M180,Bool,Lắp ráp chính diện trướcchụp ảnh lỗi (NG) (Front face assemblyvision NG) - 前正面组装拍照NG
M182,Bool,Lắp ráp bên trướcchụp ảnh lỗi (NG) (Front side assemblyvision NG) - 前侧面组装拍照NG
M183,Bool,前BOT对比视觉sai lệch quá lớn (前BOT对比视觉deviation too large) - 前BOT对比视觉偏差过大
M184,Bool,Lắp ráp chính diện sauchụp ảnh lỗi (NG) (Rear face assemblyvision NG) - 后正面组装拍照NG
M186,Bool,Lắp ráp bên sauchụp ảnh lỗi (NG) (Rear side assemblyvision NG) - 后侧面组装拍照NG
M187,Bool,后BOT对比视觉sai lệch quá lớn (后BOT对比视觉deviation too large) - 后BOT对比视觉偏差过大
M188,Bool,龙门lắp ráp ốc vítchụp ảnh lỗi (NG) (龙门screw assemblyvision NG) - 龙门组装螺丝拍照NG
M190,Bool,前取长螺丝chụp ảnh lỗi (NG) (前取长螺丝vision NG) - 前取长螺丝拍照NG
M191,Bool,前取短螺丝chụp ảnh lỗi (NG) (前取短螺丝vision NG) - 前取短螺丝拍照NG
M192,Bool,Gắp vít cổng trục trướcchụp ảnh lỗi (NG) (Front pick gantry screwvision NG) - 前取龙门螺丝拍照NG
M193,Bool,后取长螺丝chụp ảnh lỗi (NG) (后取长螺丝vision NG) - 后取长螺丝拍照NG
M194,Bool,后取短螺丝chụp ảnh lỗi (NG) (后取短螺丝vision NG) - 后取短螺丝拍照NG
M195,Bool,前lắp ráp ốc vítchụp ảnh lỗi (NG) (前screw assemblyvision NG) - 前组装螺丝拍照NG
M196,Bool,龙门lắp ráp ốc vítchụp ảnh lỗi (NG) (龙门screw assemblyvision NG) - 龙门组装螺丝拍照NG
M197,Bool,后lắp ráp ốc vítchụp ảnh lỗi (NG) (后screw assemblyvision NG) - 后组装螺丝拍照NG
M198,Bool,扫码超时báo động (扫码超时alarm) - 扫码超时报警
